Date,Facebook,Google,Apple,Netflix,Amazon
01/02/20,209.78,1367.37,75.09,329.81,1898.01
01/03/20,208.67,1360.66,74.36,325.9,1874.97
01/06/20,212.6,1394.21,74.95,335.83,1902.88
01/07/20,213.06,1393.34,74.6,330.75,1906.86
01/08/20,215.22,1404.32,75.8,339.26,1891.97
01/09/20,218.3,1419.83,77.41,335.66,1901.05
01/10/20,218.06,1429.73,77.58,329.05,1883.16
01/13/20,221.91,1439.23,79.24,338.92,1891.3
01/14/20,219.06,1430.88,78.17,338.69,1869.44
01/15/20,221.15,1439.2,77.83,339.07,1862.02
01/16/20,221.77,1451.7,78.81,338.62,1877.94
01/17/20,222.14,1480.39,79.68,339.67,1864.72
01/21/20,221.44,1484.4,79.14,338.11,1892
01/22/20,221.32,1485.95,79.43,326,1887.46
01/23/20,219.76,1486.65,79.81,349.6,1884.58
01/24/20,217.94,1466.71,79.58,353.16,1861.64
01/27/20,214.87,1433.9,77.24,342.88,1828.34
01/28/20,217.79,1452.56,79.42,348.52,1853.25
01/29/20,223.23,1458.63,81.08,343.16,1858
01/30/20,209.53,1455.84,80.97,347.74,1870.68
01/31/20,201.91,1434.23,77.38,345.09,2008.72
02/03/20,204.19,1485.94,77.17,358,2004.2
02/04/20,209.83,1447.07,79.71,369.01,2049.67
02/05/20,210.11,1448.23,80.36,369.67,2039.87
02/06/20,210.85,1476.23,81.3,366.95,2050.23
02/07/20,212.33,1479.23,80.01,366.77,2079.28
02/10/20,213.06,1508.68,80.39,371.07,2133.91
02/11/20,207.19,1508.79,79.9,373.69,2150.8
02/12/20,210.76,1518.27,81.8,380.01,2160
02/13/20,213.14,1514.66,81.22,381.4,2149.87
02/14/20,214.18,1520.74,81.24,380.4,2134.87
02/18/20,217.8,1519.67,79.75,387.78,2155.67
02/19/20,217.49,1526.69,80.91,386.19,2170.22
02/20/20,214.58,1518.15,80.08,386,2153.1
02/21/20,210.18,1485.11,78.26,380.07,2095.97
02/24/20,200.72,1421.59,74.55,368.7,2009.29
02/25/20,196.77,1388.45,72.02,360.09,1972.74
02/26/20,197.2,1393.18,73.16,379.24,1979.59
02/27/20,189.75,1318.09,68.38,371.71,1884.3
02/28/20,192.47,1339.33,68.34,369.03,1883.75
03/02/20,196.44,1389.11,74.7,381.05,1953.95
03/03/20,185.89,1341.39,72.33,368.77,1908.99
03/04/20,191.76,1386.52,75.69,383.79,1975.83
03/05/20,185.17,1319.04,73.23,372.78,1924.03
03/06/20,181.09,1298.41,72.26,368.97,1901.09
03/09/20,169.5,1215.56,66.54,346.49,1800.61
03/10/20,178.19,1280.39,71.33,364.13,1891.82
03/11/20,170.24,1215.41,68.86,349.92,1820.86
03/12/20,154.47,1114.91,62.06,315.25,1676.61
03/13/20,170.28,1219.73,69.49,336.3,1785
03/16/20,146.01,1084.33,60.55,298.84,1689.15
03/17/20,149.42,1119.8,63.22,319.75,1807.84
03/18/20,146.96,1096.8,61.67,315.47,1830
03/19/20,153.13,1115.29,61.2,332.03,1880.93
03/20/20,149.73,1072.32,57.31,332.83,1846.09
03/23/20,148.1,1056.62,56.09,360.27,1902.83
03/24/20,160.98,1134.46,61.72,357.32,1940.1
03/25/20,156.21,1102.49,61.38,342.39,1885.84
03/26/20,163.34,1161.75,64.61,362.99,1955.49
03/27/20,156.79,1110.71,61.94,357.12,1900.1
03/30/20,165.95,1146.82,63.7,370.96,1963.95
03/31/20,166.8,1162.81,63.57,375.5,1949.72
04/01/20,159.6,1105.62,60.23,364.08,1907.7
04/02/20,158.19,1120.84,61.23,370.08,1918.83
04/03/20,154.18,1097.88,60.35,361.76,1906.59
04/06/20,165.55,1186.92,65.62,379.96,1997.59
04/07/20,168.83,1186.51,64.86,372.28,2011.6
04/08/20,174.28,1210.28,66.52,371.12,2043
04/09/20,175.19,1211.45,67,370.72,2042.76
04/13/20,174.79,1217.56,68.31,396.72,2168.87
04/14/20,178.17,1269.23,71.76,413.55,2283.32
04/15/20,176.97,1262.47,71.11,426.75,2307.68
04/16/20,176.25,1263.47,71.67,439.17,2408.19
04/17/20,179.24,1283.25,70.7,422.96,2375
04/20/20,178.24,1266.61,69.23,437.49,2393.61
04/21/20,170.8,1216.34,67.09,433.83,2328.12
04/22/20,182.28,1263.21,69.03,421.42,2363.49
04/23/20,185.13,1276.31,68.76,426.7,2399.45
04/24/20,190.07,1279.31,70.74,424.99,2410.22
04/27/20,187.5,1275.88,70.79,421.38,2376
04/28/20,182.91,1233.67,69.65,403.83,2314.08
04/29/20,194.19,1341.48,71.93,411.89,2372.71
04/30/20,204.71,1348.66,73.45,419.85,2474
05/01/20,202.27,1320.61,72.27,415.27,2286.04
05/04/20,205.26,1326.8,73.29,428.15,2315.99
05/05/20,207.07,1351.11,74.39,424.68,2317.8
05/06/20,208.47,1347.3,75.16,434.26,2351.26
05/07/20,211.26,1372.56,75.94,436.53,2367.61
05/08/20,212.35,1388.37,77.53,435.55,2379.61
05/11/20,213.18,1403.26,78.75,440.52,2409
05/12/20,210.1,1375.74,77.85,431.82,2356.95
05/13/20,205.1,1349.33,76.91,438.27,2367.92
05/14/20,206.81,1356.13,77.39,441.95,2388.85
05/15/20,210.88,1373.19,76.93,454.19,2409.78
05/18/20,213.19,1383.94,78.74,452.58,2426.26
05/19/20,216.88,1373.49,78.29,451.04,2449.33
05/20/20,229.97,1406.72,79.81,447.67,2497.94
05/21/20,231.39,1402.8,79.21,436.25,2446.74
05/22/20,234.91,1410.42,79.72,429.32,2436.88
05/26/20,232.2,1417.02,79.18,414.77,2421.86
05/27/20,229.14,1417.84,79.53,419.89,2410.39
05/28/20,225.46,1416.73,79.56,413.44,2401.1
05/29/20,225.09,1428.92,79.49,419.73,2442.37
06/01/20,231.91,1431.82,80.46,425.92,2471.04
06/02/20,232.72,1439.22,80.83,427.31,2472.41
06/03/20,230.16,1436.38,81.28,421.97,2478.4
06/04/20,226.29,1412.18,80.58,414.33,2460.6
06/05/20,230.77,1438.39,82.88,419.6,2483
06/08/20,231.4,1446.61,83.37,419.49,2524.06
