Date,AMT,SPG,CCI,CSX,PLD
01/22/20,235.16,146.01,148.69,24.87,93.94
01/23/20,237.83,147.25,149.78,25.55,95.7
01/24/20,237.52,144.82,149.9,25.57,96.15
01/27/20,237.47,141.63,150.3,25.06,94.99
01/28/20,237.18,139.99,151.73,25.41,95.56
01/29/20,233.44,140.03,149.05,25.84,96.5
01/30/20,235.2,136.45,151.13,25.93,96.21
01/31/20,231.74,133.15,149.84,25.45,92.88
02/03/20,234.07,132.8,149.19,25.7,91.87
02/04/20,237.45,137.29,150.45,25.92,93.42
02/05/20,236.38,140.47,149.96,26.06,92.74
02/06/20,237.81,140.86,150.5,26.11,93.11
02/07/20,238.75,141.02,150.49,25.96,93.14
02/10/20,243.69,143.06,152.92,26.29,94.66
02/11/20,254.27,142.08,161.03,26.17,96.21
02/12/20,256.18,139.17,163.21,26.5,96.79
02/13/20,256.9,138.66,163.92,26.61,96.47
02/14/20,256.25,138.92,165.97,26.53,97.55
02/18/20,252.93,139.17,166.21,26.5,98.35
02/19/20,248.1,137.01,165.6,26.72,97.77
02/20/20,247.54,140.53,166.99,26.82,98.95
02/21/20,247.01,142.25,168.06,26.52,99.23
02/24/20,245.11,140.78,166.36,26.02,95.98
02/25/20,246.14,135.28,163.02,25.19,91.7
02/26/20,242.67,132.23,162.69,25.1,91.26
02/27/20,232.93,125.8,148.4,24.09,86.71
02/28/20,226.8,123.08,143.29,23.48,84.28
03/02/20,240.75,127.22,156.24,23.58,88.27
03/03/20,242.65,122.47,158.13,22.97,89.39
03/04/20,251.66,123.49,163.56,24,94.37
03/05/20,246.94,119.9,162.24,22.99,89.71
03/06/20,246.32,119.06,160.82,22.75,85.88
03/09/20,231.86,103.04,150.28,20.13,77.77
03/10/20,243.87,111.44,159.35,20.96,80.86
03/11/20,232.9,101.5,153.85,19.44,73.69
03/12/20,217.83,83.49,142.51,17.8,70.18
03/13/20,238.99,89.77,155.09,19.31,77.82
03/16/20,202.75,65.79,135.82,16.31,64.38
03/17/20,227.53,58.86,146.87,18.09,70.69
03/18/20,217.14,44.92,138.31,16.99,67.8
03/19/20,209,55.74,130.75,18.34,63.91
03/20/20,195.39,48.14,128.06,16.62,62.82
03/23/20,179.09,50.16,116.98,15.89,63.37
03/24/20,190.27,54.73,123.71,18.5,70.55
03/25/20,199.26,62.34,127.96,18.84,72.19
03/26/20,222.2,62.1,142.47,19.52,77.69
03/27/20,218.48,58.17,136.89,18.76,79.17
03/30/20,230.58,56.27,148.06,19.34,82.88
03/31/20,217.75,54.86,144.4,19.1,80.37
04/01/20,206.97,47.04,137.59,18.28,73.26
04/02/20,220.75,44.01,146.37,18.95,75.51
04/03/20,222.8,46.72,145.62,18.92,73.59
04/06/20,235.18,54.06,148.75,20.42,80.23
04/07/20,227.77,60.88,146.54,20.38,80.95
04/08/20,249.25,62.91,157.36,21.17,86.18
04/09/20,259.6,68.17,164.14,21.33,91.73
04/13/20,249.76,65.3,157.05,20.52,86.41
04/14/20,255.1,67.75,165.78,20.85,89.15
04/15/20,247.49,61.22,162.46,20.3,86.54
04/16/20,251.78,53.1,161.8,20.21,88.2
04/17/20,254.06,56.12,167.05,20.92,90.22
04/20/20,248.68,53.83,162.42,20.33,88.5
04/21/20,242,53.56,159.67,19.83,89
04/22/20,252.98,52.46,163.17,20.3,87.87
04/23/20,248.6,53.15,160.55,20.49,86.75
04/24/20,244.61,51.49,161.61,21.27,89.04
04/27/20,250.22,57.19,163.8,22.14,91.84
04/28/20,243.53,63.33,161.26,22.28,89.59
04/29/20,236.81,68.8,155.44,22.72,90.16
04/30/20,238,66.77,159.43,22.08,89.23
05/01/20,234.2,63.2,156.41,21.67,86.85
05/04/20,236.63,63.01,157.73,21.25,87.13
05/05/20,240.26,60.55,158.68,21.26,87.74
05/06/20,237.26,55.74,154.99,20.88,86.94
05/07/20,235.25,57,154.69,21.31,88.07
05/08/20,238.36,58.02,157.7,22.04,89.97
05/11/20,238.23,55.08,159.79,21.97,88.88
05/12/20,231.69,54.54,154.22,21.39,84.22
05/13/20,231.15,51.17,153.19,20.78,82.84
05/14/20,229.62,51.55,152.04,20.99,84.08
05/15/20,229.58,51.32,150.14,20.67,83.28
05/18/20,236.03,56.91,156.4,22.13,86.83
05/19/20,229.97,56.87,152.56,21.99,84.68
05/20/20,230.14,55.67,152.36,22.79,87.12
05/21/20,228.16,56,150.83,22.6,86.4
05/22/20,242.43,54.59,156.2,22.84,87.55
05/26/20,243.93,59.25,159.59,24.05,90.02
05/27/20,252.01,63.19,163.06,24.53,91.76
05/28/20,258.12,59.75,168.79,23.75,93.05
05/29/20,258.17,57.7,172.16,23.86,91.5
06/01/20,264.31,61.6,173.77,23.62,93.7
06/02/20,263.59,63.45,174.55,24.06,95.46
06/03/20,267.39,72.88,174.56,24.89,97.32
06/04/20,259.72,76.73,167.65,24.68,93.35
06/05/20,264.89,88.6,168.6,25.03,95.71
06/08/20,266.88,95.5,172.83,24.78,97.77
06/09/20,265.76,86.47,174.34,24.55,97.33
06/10/20,265.34,83.01,174.09,24.43,96.41
06/11/20,251.51,71.92,160.72,22.76,90.91
06/12/20,258.08,75.98,164.37,23.19,94.46
06/15/20,262.49,74.39,167.57,23.38,94.39
06/16/20,264.78,75.52,169.59,23.45,96.9
06/17/20,263.97,71.67,169.45,23.3,96.7
